SNO.,CACHE SIZE (in KB),ASSOCIATIVITY,R/W PORTS,LINE SIZE,LEAKAGE POWER (in mW),ACCESS TIME (in ns),AREA (in mm²),LEAKAGE ENERGY (in pJ)
1,128,1,1,64B,58.9708 ,1.46829 ,1.77945 ,86.58623593
2,256,1,1,64B,112.423 ,1.95313 ,3.49636 ,219.576734
3,2048,1,1,64B,865.251 ,5.05218 ,31.828 ,4371.403797
4,8192,1,1,64B,3447.51 ,8.76878 ,128.685 ,30230.45674
5,128,4,1,64B,57.2999 ,1.59863 ,2.02069 ,91.60133914
6,128,8,1,64B,57.3757 ,2.65835 ,2.53908 ,152.5246921
7,128,16,1,64B,60.7422 ,4.5762 ,7.30267 ,277.9684556
8,128,1,2,64B,68.4812 ,1.85515 ,3.75644 ,127.0428982
9,128,1,4,64B,88.3287 ,2.75643 ,9.85763 ,243.4718785
10,128,4,4,64B,90.0309 ,3.59595 ,12.1022 ,323.7466149
11,128,8,4,64B,97.8198 ,7.51857 ,16.9054 ,735.4650137
12,128,16,4,64B,117.134 ,21.2512 ,26.891 ,2489.238061
13,128,16,2,64B,77.486 ,6.4066 ,20.180 ,496.4218076
14,256,16,2,64B,141.234 ,6.7337 ,23.327 ,951.0273858
15,256,16,4,64B,190.46 ,9.66574 ,81.386 ,1840.93684
16,256,16,1,64B,115.657 ,4.809 ,9.005 ,556.194513
17,256,8,1,64B,114.731 ,2.77869 ,6.1036 ,318.8018824
18,256,8,2,64B,133.239 ,4.46649 ,9.28221 ,595.1106611
19,256,8,4,64B,178.99 ,8.3174 ,25.26556 ,1488.731426
20,2048,8,4,64B,1346.39 ,12.381 ,200.20699 ,16669.65459
21,2048,8,2,64B,1027.63 ,7.18682 ,73.69268 ,7385.391837
22,2048,8,1,64B,889.485 ,4.97438 ,31.90934 ,4424.636394
23,8192,16,1,64B,877.538 ,6.19609 ,34.62707 ,5437.304426
24,8192,16,4,64B,1342.57 ,13.0654 ,191.65586 ,17541.21408
25,8192,8,2,64B,1027.63 ,7.18682 ,73.69268 ,7385.391837
